# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# IAU constellation boundaries (Delporte 1930), mean equator and equinox of
# B1875.0: abbr|part|corners as RA seconds of time,Dec arcminutes.
# Every edge is an arc of an hour circle or of a parallel; the last corner
# joins the first. Octans' three plotting points at the south pole (added
# by the digital transcription, not boundary corners) are removed.
Hyi||16500,-4050 16500,-4200 16500,-4500 12600,-4500 12600,-4950 0,-4950 0,-4500 2700,-4500 2700,-4560 4800,-4560 4800,-3510 7800,-3510 7800,-4050 11520,-4050
Ind||76800,-4500 84000,-4500 84000,-4050 79200,-4050 79200,-3420 79200,-3000 76800,-3000 76800,-2730 73200,-2730 73200,-3420 73200,-3600 76800,-3600
Lac||78750,2160 78750,2625 78870,2625 78870,2640 79080,2640 79080,3165 79680,3165 79680,3300 80340,3300 80340,3375 82320,3375 82320,3150 82320,2070 82140,2070 82140,2100 79200,2100 79200,2160
Leo||38700,0 38700,420 34500,420 33300,420 33300,2010 35580,2010 35580,1710 37800,1710 37800,1410 38700,1410 38700,1530 39600,1530 39600,1740 42720,1740 42720,840 42720,660 41460,660 41460,0 41460,-360 38700,-360
LMi||33300,2010 33300,2385 34500,2385 34500,2520 36600,2520 36600,2400 38820,2400 38820,2040 39600,2040 39600,1740 39600,1530 38700,1530 38700,1410 37800,1410 37800,1710 35580,1710 35580,2010
Lep||17400,-1635 18000,-1635 22020,-1635 22020,-660 21000,-660 18300,-660 17700,-660 17700,-870 17400,-870
Lib||54300,0 52800,0 52800,-480 51300,-480 51300,-1320 51300,-1470 53700,-1470 53700,-1770 56400,-1770 56400,-1200 57300,-1200 57300,-480 57300,-195 54300,-195
Lup||51000,-3300 52320,-3300 54180,-3300 54180,-3240 55200,-3240 55200,-2880 56400,-2880 56400,-2520 57600,-2520 57600,-1770 56400,-1770 53700,-1770 53700,-2520 51000,-2520
Lyn||26520,2130 26520,2670 24480,2670 24480,3000 23400,3000 23400,3240 21960,3240 21960,3360 21960,3720 25200,3720 25200,3600 28680,3600 30300,3600 30300,2820 33000,2820 33000,2520 34500,2520 34500,2385 33300,2385 33300,2010 28800,2010 27900,2010 27900,2130
Lyr||67920,1530 67920,1560 66120,1560 66120,1800 65430,1800 65430,2850 65640,2850 68700,2850 69000,2850 69000,2610 69840,2610 69840,2190 69690,2190 69690,1800 69330,1800 69330,1650 69330,1530
Men||27600,-5100 12600,-5100 12600,-4950 12600,-4500 16500,-4500 16500,-4200 23700,-4200 23700,-4500 27600,-4500 27600,-4950
Mic||73200,-1680 76800,-1680 76800,-2220 76800,-2730 73200,-2730
Mon||22470,0 22470,600 22710,600 22710,720 24960,720 24960,600 25200,600 25200,330 25260,330 25260,90 25920,90 25920,0 29100,0 29100,-660 26520,-660 22020,-660 21000,-660 21000,-240 22470,-240
Mus||40500,-3840 40500,-4500 49200,-4500 49200,-4200 49200,-3900 48600,-3900 48600,-3840 46200,-3840 42600,-3840
Nor||55200,-3600 59115,-3600 59115,-2730 59115,-2520 57600,-2520 56400,-2520 56400,-2880 55200,-2880 55200,-3240 54180,-3240 54180,-3300 55200,-3300
Oct||0,-4950 12600,-4950 12600,-5100 27600,-5100 27600,-4950 49200,-4950 64800,-4950 64800,-4500 76800,-4500 84000,-4500 0,-4500
Oph||58560,0 58560,240 60300,240 60300,770 62100,770 62100,860 65700,860 65700,720 67184,720 67184,375 65700,375 65700,270 66330,270 66330,180 65700,180 65700,0 64200,0 64200,-240 64680,-240 64680,-600 63600,-600 63600,-700 63300,-700 63300,-600 61800,-600 61800,-960 63360,-960 63360,-1800 60300,-1800 60300,-1475 58560,-1475 58560,-1155 58950,-1155 58950,-1095 58560,-1095 58560,-480 57300,-480 57300,-195 58560,-195
Ori||16620,0 16620,930 17880,930 17880,960 19200,960 19200,930 20160,930 20160,750 20760,750 20760,1080 20520,1080 20520,1370 21180,1370 21180,1290 22380,1290 22380,1050 22710,1050 22710,720 22710,600 22470,600 22470,0 22470,-240 21000,-240 21000,-660 18300,-660 18300,-240 16800,-240 16800,0
Pav||64800,-4500 76800,-4500 76800,-3600 73200,-3600 73200,-3420 64800,-3420 63000,-3420 63000,-4050 64800,-4050
Peg||76800,120 76800,750 76020,750 76020,710 75780,710 75780,1170 76500,1170 76500,1410 77100,1410 77100,1680 78240,1680 78240,2160 78750,2160 79200,2160 79200,2100 82140,2100 82140,2070 82320,2070 84600,2070 84600,1925 85500,1925 85500,1880 0,1880 0,1680 240,1680 240,1320 510,1320 510,1260 510,750 0,750 0,600 85800,600 85800,450 81900,450 81900,120 79200,120 79200,105 78000,105 78000,165 77280,165 77280,120
Per||9780,1840 9780,2040 9240,2040 9240,2205 9060,2205 9060,3030 7350,3030 7350,2820 6000,2820 6000,3000 4920,3000 4920,3240 6120,3240 6120,3450 6870,3450 6870,3510 8760,3510 8760,3420 11160,3420 11400,3420 11400,3300 12000,3300 12000,3150 16890,3150 16890,2160 16200,2160 16200,1840 12120,1840
Phe||84000,-2400 84000,-3420 84000,-3510 4800,-3510 4800,-3210 5700,-3210 5700,-3090 6600,-3090 6600,-2890 8400,-2890 8400,-2400 6000,-2400
Pic||21600,-2580 18000,-2580 17400,-2580 17400,-2790 16200,-2790 16200,-2940 16200,-3240 18000,-3240 18000,-3450 19800,-3450 19800,-3660 21600,-3660 21600,-3840 23700,-3840 24600,-3840 24600,-3480 23400,-3480 23400,-3300 22200,-3300 22200,-3150 21600,-3150 21600,-3045
Psc||81900,0 81900,120 81900,450 85800,450 85800,600 0,600 0,750 510,750 510,1260 3060,1260 3060,1425 2580,1425 2580,1980 5070,1980 5070,1680 6000,1680 6000,1500 6000,595 7200,595 7200,120 1200,120 1200,0 1200,-420 85800,-420 85800,-240 81900,-240
PsA||82800,-1530 78720,-1530 76800,-1530 76800,-1680 76800,-2220 82800,-2220
Pup||26520,-660 26520,-1980 23700,-1980 23700,-2580 21600,-2580 21600,-3045 28800,-3045 28800,-2580 30120,-2580 30120,-2205 30120,-1020 30120,-660 29100,-660
Pyx||30120,-1020 30900,-1020 30900,-1140 32700,-1140 32700,-1440 33720,-1440 33720,-2205 30120,-2205
Ret||11520,-4050 16500,-4050 16500,-3540 15600,-3540 15600,-3390 14400,-3390 14400,-3190 13800,-3190 12600,-3190 12600,-3450 11520,-3450
Sge||67920,1110 67920,1265 69300,1265 69300,1150 71400,1150 71400,1275 72900,1275 72900,1230 72900,945 72510,945 71400,945 71400,970 68400,970 68400,1110
Sgr||67920,-722 67920,-960 65700,-960 63360,-960 63360,-1800 64200,-1800 64200,-2220 69000,-2220 69000,-2730 73200,-2730 73200,-1680 72000,-1680 72000,-722
